Victory Sweet Shop/Victory Garden Cafe,Ad 4.5,341,21-69 Steinway St,Restaurant,Open ⋅ Closes 12 am,
Berimbau Brazilian Kitchen,Ad 4.5,958,43 Carmine St,Brazilian,Open ⋅ Closes 10:30 pm,
Per Se,4.5,"1,525",10 Columbus Cir,French,Closed ⋅ Opens 4:30 pm,
Gabriel Kreuther,4.6,941,41 W 42nd St,Modern French,Closed ⋅ Opens 5 pm,
Gotham Restaurant,4.5,"1,249",12 E 12th St,New American,Opens soon ⋅ 12 pm,
Gramercy Tavern,4.6,"3,385",42 E 20th St,New American,Open ⋅ Closes 10:30 pm,
The Modern,4.6,"1,874",9 W 53rd St,New American,Open ⋅ Closes 2 pm ⋅ Reopens 5 pm,
Le Coucou,4.5,"1,420",138 Lafayette St,French,Open ⋅ Closes 2 pm ⋅ Reopens 5 pm,
Family Meal at Blue Hill,4.6,"1,092",75 Washington Pl,American,Closed ⋅ Opens 5:30 pm,
Salinas Restaurant,4.5,751,136 9th Ave,Spanish,Closed ⋅ Opens 5:30 pm,
Minetta Tavern,4.5,"2,046",113 MacDougal St,French,Closed ⋅ Opens 5 pm,
Little Beet Table,4.5,803,333 Park Ave S,Restaurant,Open ⋅ Closes 10 pm,
Schilling Restaurant & Bar,4.4,441,109 Washington St,Austrian,Opens soon ⋅ 12 pm,
Keens Steakhouse,4.6,"7,029",72 W 36 St,Steak,Open ⋅ Closes 10:30 pm,
Buddakan,4.5,"4,312",75 9th Ave,Asian Fusion,Closed ⋅ Opens 5 pm,
ROBERT,4.5,"1,358",2 Columbus Cir,American,Opens soon ⋅ 12 pm,
L'Artusi,4.6,"1,569",228 W 10th St,Italian,Opens soon ⋅ 12 pm,
Ocean Prime,4.6,"1,886",123 W 52nd St,Seafood,Open ⋅ Closes 10 pm,
The Restaurant,4.2,197,506 9th Ave,Restaurant,Open ⋅ Closes 11 pm,
La Masseria NY,4.4,"1,095",235 W 48th St,Italian,Opens soon ⋅ 12 pm,
Upland,4.5,"1,854",345 Park Ave S,Californian,Open ⋅ Closes 3 pm ⋅ Reopens 5 pm,
The Capital Grille,4.6,"1,616",155 E 42nd St,Fine Dining,Open ⋅ Closes 9:30 pm,
Balthazar,4.4,"6,263",80 Spring St,French,Open ⋅ Closes 12 AM,
Michael's New York,4.5,274,24 W 55th St,Fine Dining,,
Daniel,4.6,"1,880",60 E 65th St,French,Closed ⋅ Opens 5 PM,
Joe Allen,4.4,794,326 W 46th St,American,Open ⋅ Closes 11:30 PM,
I Sodi,4.3,575,314 Bleecker St,Tuscan,Closed ⋅ Opens 4:30 PM,
The View Restaurant & Lounge,4.2,"3,090",1535 Broadway,American,Closed ⋅ Opens 6 PM Thu,
Catch NYC,4.0,"3,497",21 9th Ave,Seafood,Closed ⋅ Opens 5:30 PM,
SAGA,4.6,183,70 Pine St 63rd Floor,Fine Dining,,
The Flatiron Room Murray Hill,4.5,783,9 E 37th St,New American,Closed ⋅ Opens 5 PM,
Cibo e Vino,4.5,732,2418 Broadway,Italian,Closed ⋅ Opens 4 PM,
DK Restaurant NYC,4.3,473,207 W 36 St,Steak,Open ⋅ Closes 10 PM,
