,Name,Rating,Reviews,Category,Address,Website,Phone,Time
0,Berimbau Brazilian Kitchen,4.5,958,Brazilian ,"43 Carmine St, New York, NY 10014, United States",berimbaunyc.com,+1 212-401-0021, Opens 11:30 am
1,Victory Sweet Shop/Victory Garden Cafe,4.5,342,Restaurant ,"21-69 Steinway St, Queens, NY 11105, United States",victorysweetshop.com,+1 718-274-2087, Opens 8 am
2,Per Se,4.5,"1,525",French ,"10 Columbus Cir, New York, NY 10019, United States",thomaskeller.com,+1 212-823-9335, Opens 4:30 pm
3,Marc Forgione,4.6,580,American ,"134 Reade St, New York, NY 10013, United States",marcforgione.com,+1 212-941-9401, Opens 5 pm
4,Le Coucou,4.5,"1,420",French ,"138 Lafayette St, New York, NY 10013, United States",lecoucou.com,+1 212-271-4252, Opens 11:30 am
5,Atera,4.7,413,New American ,"77 Worth St, New York, NY 10013, United States",ateranyc.com,+1 212-226-1444, Opens 5 pm
6,Keens Steakhouse,4.6,"7,028",Steak ,"72 W 36 St, New York, NY 10018, United States",keens.com,+1 212-947-3636, Opens 11:45 am
7,Schilling Restaurant & Bar,4.4,441,Austrian ,"109 Washington St, New York, NY 10006, United States",schillingnyc.com,+1 212-406-1200, Opens 12 pm
8,1803 NYC,4.5,"1,290",Creole ,"82 Reade St, New York, NY 10007, United States",1803nyc.com,+1 212-267-3000, Opens 11:30 am
9,Crown Shy,4.6,"1,019",American ,"70 Pine Street Ground Floor, New York, NY 10005, United States",crownshy.nyc,+1 212-517-1932, Opens 5:30 pm
10,Daniel,4.6,"1,881",French ,"60 E 65th St, New York, NY 10065, United States",danielnyc.com,+1 212-288-0033, Opens 5 pm
11,San Carlo Osteria Piemonte,4.6,693,Italian ,"90 Thompson St, New York, NY 10012, United States",sancarlonyc.com,+1 212-625-1212, Opens 12 pm
12,Le Bernardin,4.6,"2,832",French ,"155 W 51st St, New York, NY 10019, United States",bernardin.com,+1 212-554-1515, Opens 12 pm
13,The Restaurant,4.2,197,Restaurant ,"506 9th Ave, New York, NY 10018, United States",therestaurants.us,+1 212-564-4950, Opens 11 am
14,Restaurant Above,4.3,37,American ,"234 W 42nd St, New York, NY 10036, United States",,, Opens 6:30 am
15,COTE Korean Steakhouse,4.6,"2,763",Steak ,"16 W 22nd St, New York, NY 10010, United States",cotenyc.com,+1 212-401-7986, Opens 5 pm
16,Joseph's Restaurant,4.5,245,Northern Italian ,"3 Hanover Square, New York, NY 10004, United States",josephsnyc.com,+1 212-747-1300, Opens 12 pm
17,Manhatta,4.6,"1,516",New American ,"28 Liberty St 60th floor, New York, NY 10005, United States",manhattarestaurant.com,+1 212-230-5788, Opens 4 pm
18,La Mercerie,4.3,"1,037",French ,"53 Howard St, New York, NY 10013, United States",lamercerieny.com,+1 212-852-9097, Opens 11:30 am
19,Puglia,4.3,"1,175",Italian ,"189 Hester St, New York, NY 10013, United States",pugliaofnyc.com,+1 212-966-6006, Opens 4 pm
20,Kuu Ramen,4.4,"1,493",Ramen ,"20 John St, New York, NY 10038, United States",soupnewyork.com,+1 646-892-9629, Opens 11:30 am
21,Jean-Georges,4.5,"1,299",Haute French ,"1 Central Park West, New York, NY 10023, United States",georgesrestaurant.com,+1 212-299-3900, Opens 4:45 pm
